,Attribute Name - Current System,,MatrixFieldName,RLS Description,Resource,Standard Type,Feed
,MainOfficeKeyNumeric,,MainOfficeKeyNumeric,IDX Plus field,Office,Number,IDX Plus
,MainOfficeMlsId,,MainOfficeMlsId,IDX Plus field,Office,String,IDX Plus
,NumberOfBranches,,NumberOfBranches,IDX Plus field,Office,Number,IDX Plus
,NumberOfNonMemberSalespersons,,NumberOfNonMemberSalespersons,IDX Plus field,Office,Number,IDX Plus
,OfficeAddress1,,OfficeAddress1,IDX Plus field,Office,String,IDX Plus
,OfficeAddress2,,OfficeAddress2,IDX Plus field,Office,String,IDX Plus
,OfficeAlternateId,,OfficeAlternateId,IDX Plus field,Office,String,IDX Plus
,OfficeAOR,,OfficeAOR,IDX Plus field,Office,String List, Single,IDX Plus
,OfficeAORkey,,OfficeAORkey,IDX Plus field,Office,String,IDX Plus
,OfficeAORkeyNumeric,,OfficeAORkeyNumeric,IDX Plus field,Office,Number,IDX Plus
,OfficeAORMlsId,,OfficeAORMlsId,IDX Plus field,Office,String,IDX Plus
,OfficeBio,,OfficeBio,IDX Plus field,Office,String,IDX Plus
,OfficeBranchType,,OfficeBranchType,IDX Plus field,Office,String List, Single,IDX Plus
,OfficeBrokerKey,,OfficeBrokerKey,IDX Plus field,Office,String,IDX Plus
,OfficeBrokerKeyNumeric,,OfficeBrokerKeyNumeric,IDX Plus field,Office,Number,IDX Plus
,OfficeBrokerMlsId,,OfficeBrokerMlsId,IDX Plus field,Office,String,IDX Plus
,OfficeBrokerNationalAssociationId,,OfficeBrokerNationalAssociationId,IDX Plus field,Office,String,IDX Plus
,OfficeCity,,OfficeCity,IDX Plus field,Office,String,IDX Plus
,OfficeCityRegion,,OfficeCityRegion,IDX Plus field,Office,String,IDX Plus
,OfficeCountry,,OfficeCountry,IDX Plus field,Office,String List, Single,IDX Plus
,OfficeCountyOrParish,,OfficeCountyOrParish,IDX Plus field,Office,String,IDX Plus
,OfficeEmail,,OfficeEmail,IDX Plus field,Office,String,IDX Plus
,OfficeFax,,OfficeFax,IDX Plus field,Office,String,IDX Plus
,OfficeKeyNumeric,,OfficeKeyNumeric,IDX Plus field,Office,Number,IDX Plus
,OfficeMailAddress1,,OfficeMailAddress1,IDX Plus field,Office,String,IDX Plus
,OfficeMailAddress2,,OfficeMailAddress2,IDX Plus field,Office,String,IDX Plus
,OfficeMailCareOf,,OfficeMailCareOf,IDX Plus field,Office,String,IDX Plus
,OfficeMailCity,,OfficeMailCity,IDX Plus field,Office,String,IDX Plus
,OfficeMailCountry,,OfficeMailCountry,IDX Plus field,Office,String List, Single,IDX Plus
,OfficeMailCountyOrParish,,OfficeMailCountyOrParish,IDX Plus field,Office,String,IDX Plus
,OfficeMailPostalCode,,OfficeMailPostalCode,IDX Plus field,Office,String,IDX Plus
,OfficeMailPostalCodePlus4,,OfficeMailPostalCodePlus4,IDX Plus field,Office,String,IDX Plus
,OfficeMailStateOrProvince,,OfficeMailStateOrProvince,IDX Plus field,Office,String List, Single,IDX Plus
,OfficeMlsId,,OfficeMlsId,IDX Plus field,Office,String,IDX Plus
,OfficeName,,OfficeName,IDX Plus field,Office,String,IDX Plus
,OfficeNationalAssociationId,,OfficeNationalAssociationId,IDX Plus field,Office,String,IDX Plus
,OfficeNationalAssociationIdInsertDate,,OfficeNationalAssociationIdInsertDate,IDX Plus field,Office,Date,IDX Plus
,OfficePhone,,OfficePhone,IDX Plus field,Office,String,IDX Plus
,OfficePhoneExt,,OfficePhoneExt,IDX Plus field,Office,String,IDX Plus
,OfficePostalCode,,OfficePostalCode,IDX Plus field,Office,String,IDX Plus
,OfficePostalCodePlus4,,OfficePostalCodePlus4,IDX Plus field,Office,String,IDX Plus
,OfficePreferredMedia,,OfficePreferredMedia,IDX Plus field,Office,String List, Single,IDX Plus
,OfficePrimaryAorId,,OfficePrimaryAorId,IDX Plus field,Office,String,IDX Plus
,OfficePrimaryStateOrProvince,,OfficePrimaryStateOrProvince,IDX Plus field,Office,String List, Single,IDX Plus
,OfficeStateOrProvince,,OfficeStateOrProvince,IDX Plus field,Office,String List, Single,IDX Plus
,OfficeStatus,,OfficeStatus,IDX Plus field,Office,String List, Single,IDX Plus
,OfficeStreetAdditionalInfo,,OfficeStreetAdditionalInfo,IDX Plus field,Office,String,IDX Plus
,OfficeType,,OfficeType,IDX Plus field,Office,String List, Single,IDX Plus
,OriginalEntryTimestamp,,OriginalEntryTimestamp,IDX Plus field,Office,Timestamp,IDX Plus
,OriginatingSystemID,,OriginatingSystemID,IDX Plus field,Office,String,IDX Plus
,OriginatingSystemMainOfficeKey,,OriginatingSystemMainOfficeKey,IDX Plus field,Office,String,IDX Plus
,OriginatingSystemOfficeBrokerKey,,OriginatingSystemOfficeBrokerKey,IDX Plus field,Office,String,IDX Plus
,OriginatingSystemOfficeKey,,OriginatingSystemOfficeKey,IDX Plus field,Office,String,IDX Plus
,OriginatingSystemOfficeManagerKey,,OriginatingSystemOfficeManagerKey,IDX Plus field,Office,String,IDX Plus
,OriginatingSystemSubName,,OriginatingSystemSubName,IDX Plus field,Office,String,IDX Plus
,OtherPhone,,OtherPhone,IDX Plus field,Office,String,IDX Plus
,RecordSignature,,RecordSignature,IDX Plus field,Office,Number,IDX Plus
,SourceSystemID,,SourceSystemID,IDX Plus field,Office,String,IDX Plus
,SourceSystemName,,SourceSystemName,IDX Plus field,Office,String,IDX Plus
,SourceSystemOfficeKey,,SourceSystemOfficeKey,IDX Plus field,Office,String,IDX Plus
,VirtualOfficeWebsiteYN,,VirtualOfficeWebsiteYN,IDX Plus field,Office,Boolean,IDX Plus
,AppointmentRequiredYN,,AppointmentRequiredYN,IDX Plus field,Open House,Boolean,IDX Plus
,HumanModifiedYN,,HumanModifiedYN,IDX Plus field,Open House,Boolean,IDX Plus
,InternetEntireListingDisplayYN,,InternetEntireListingDisplayYN,IDX Plus field,Open House,Boolean,IDX Plus
,ListAgentKey,,ListAgentKey,IDX Plus field,Open House,String,IDX Plus
,ListAOR,,ListAOR,IDX Plus field,Open House,String List, Single,IDX Plus
,ListingId,,ListingId,IDX Plus field,Open House,String,IDX Plus
,ListingKey,,ListingKey,IDX Plus field,Open House,String,IDX Plus
,ListingKeyNumeric,,ListingKeyNumeric,IDX Plus field,Open House,Number,IDX Plus
,ListingPermission,,ListingPermission,IDX Plus field,Open House,String List, Multi,IDX Plus
,ListOfficeKey,,ListOfficeKey,IDX Plus field,Open House,String,IDX Plus
,ListOfficeMlsId,,ListOfficeMlsId,IDX Plus field,Open House,String,IDX Plus
